"Código de barras",Código,Variantes,expected,counted
"10'241-4 a 001","10-241/4 STD",,2.0000,
"10'243-4 A 001","10-243/4 STD",,0.0000,
"10'244-4 A 001","10-244/4 STD",,5.0000,
"10'247-4 a 001","10-247/4 STD",,2.0000,
"10'372-4 a 001","10-372/4 STD","1.0 8v",-1.0000,
"10'410-4 A 001","10-410/4 STD",,1.0000,
"10'479-4 A 013","10-479/4 060",,1.0000,
"10'625-4 F 001","10-625/4F STD",,2.0000,
"10'628-4 A 001","10-628/4 STD",,3.0000,
"10'628-4 a 008","10-628/4 010",,1.0000,
"10'628-4 a 039","10-628/4 050","1.8 8v (Gol/Senda)",0.0000,
"10'733-4 a 001","10-733/4 STD",,2.0000,
"10'733-4 a 030","10-733/4 .010",,2.0000,
"10'734-4 A 001","10-734/4 STD",,0.0000,
"10'774-4 a 001","10-774/4 STD",,0.0000,
"10'777-4 a 001","10-777/4 STD",,2.0000,
"10'873-4 a 001","10-873/4 STD",,5.0000,
"10-082/4 STD","10-082/4 STD",,1.0000,
10-136/4,"10-136/4 0.10",,1.0000,
10-137/4ASTD,"10-137/4 STD",,0.0000,
"10-138/4 F STD","10-138/4 F STD",,2.0000,
"10-139/4 020","10-139/4 020",,2.0000,
"10-156/4 010","10-156/4 010",,2.0000,
"10-243-4A 020","10-243/A 020",,1.0000,
"10-243/4A 010","10-243/4A 010",,1.0000,
"10-243/4A 030","10-243/4A 030",,1.0000,
"10-244/4 010","10-244/4 010",,0.0000,
"10-244/4 020","10-244/4 020",,2.0000,
"10-247/4 020","10-247/4 020",,1.0000,
"10-247/4a 010","10-247/4A 010",,2.0000,
"10-247/4A 030","10-247/4 030",,1.0000,
"10-625/4 0.25","10-625/4 .010",,2.0000,
"10-628/4 020","10-628/4 020",,2.0000,
"10-628/4 030","10-628/4 030",,-2.0000,
"10-628/4 040","10-628/4 040",,1.0000,
"10-731/4 STD","10-731/4 STD",,0.0000,
"10-734/4 0,30 / .010","10-734/4 0,30 / .010","1.7 8v D (XUD7)",-1.0000,
