194,AL-194,code128,9,11,unidad,1,1,2.753,2944,72,1,No Tax,exclusive,14072016_1402461.jpeg,,Fiesta| Ka| Focus - 1 Sensor,1.6 8v (ZETEC ROCAM),32,0,0,21,30,,BH
2305,2305,code128,9,11,unidad,1,1,2.757,2948,57,2,No Tax,exclusive,02072018_1230421.jpeg,,Fiesta| Ka| Focus| Eco Sport - De 1 sensor,1.6 8v (ZETEC ROCAM),32,0,0,21,30,,AMOROSO
199,AL-199,code128,9,11,unidad,1,1,3.273,3500,93,1,No Tax,exclusive,14072016_1507231.jpeg,,Ecosport| Peugeot| C3,1.4 8v TDCI (DV4),32,0,0,21,30,,BH
EV59018,EV59018,code128,9,11,unidad,1,1,4.314,5767,49,2,No Tax,exclusive,01072016_1037191.jpeg,,Ka| Fiesta| Eco Sport| Focus - 3 Sensores,1.6 8v (ZETEC ROCAM),15,0,0,21,30,,MAHLE
640,AL-640,code128,23,11,unidad,1,1,2.034,2175,54,1,No Tax,exclusive,12072016_1553021.jpeg,,Partner| Berlingo| 206| 405| 306 - Chav. Simple,1.9 8v D (DW8)-1.9 8v D (XUD9),32,0,0,21,30,,AMOROSO
129,AL-129,code128,23,11,unidad,1,1,2.034,2175,65,1,No Tax,exclusive,14072016_1512291.jpeg,,504| 505 - Indenor,XD2 (INDENOR)-XD3 (INDENOR),32,0,0,21,30,,BH
117,AL-117,code128,23,11,unidad,1,1,2.063,2206,67,1,No Tax,exclusive,14072016_1431521.jpeg,,404| 504| 505 Gama,1.6 8v (404)-1.8 8v (504)-2.0 8v (504/505)-2.0 8v (505 GAMA),32,0,0,21,30,,BH
645,645,code128,23,11,unidad,1,1,2.188,2340,27,2,No Tax,exclusive,02102018_0920161.jpeg,,205| 306| 405| Partner| Berlingo,1.6 8v Carb. (XU5)-1.8 8v Iny. (XU7JP)-1.9 8v Carb. (XU9)-2.0 8v Iny. (XU10J2),32,0,0,21,30,,AMOROSO
1302000103,13020000103,code128,24,11,unidad,1,1,1.545,2430,17,2,No Tax,exclusive,02102018_1336301.jpeg,,Clio| Kangoo| Megan| Logan| Symbol,1.6 8v (K7M),0,0,0,21,30,,IMPORTADO
360,AL360,code128,24,11,unidad,1,1,1.716,1835,50,1,No Tax,exclusive,15022017_1257231.jpeg,,R12| R9 TS| R11 TS,1.4 8v (Junior)-1.4 8v (R12)-1.6 8v (C1L/C2L)-1.6 8v (Carburador),32,0,0,21,30,,AMOROSO
132,AL-132,code128,24,11,unidad,1,1,1.813,1939,26,1,No Tax,exclusive,14072016_1348121.jpeg,,R12| R9 TS| R11 TS,1.4 8v (R12)-1.6 8v (C1L/C2L)-1.6 8v (Carburador),32,0,0,21,30,,BH
131,AL-131,code128,24,11,unidad,1,1,1.813,1939,26,1,No Tax,exclusive,15072016_1253301.jpeg,,R9| R11| Trafic,1.4 8v (R12),32,0,0,21,30,,BH
130205358R A,130205358R,code128,24,11,unidad,1,1,1.898,2984,77,1,No Tax,exclusive,28052019_1608301.jpeg,,Megane| Scenic| Clio| Kangoo| Sandero| Logan,1.6 16v (K4M),0,0,0,21,30,,IMPORTADO
130208342R E,130208342R,code128,24,11,unidad,1,1,1.898,2984,77,1,No Tax,exclusive,29052019_1134201.jpeg,,Megane| Scenic| Clio| Kangoo| Sandero| Logan,1.6 16v (K4M),0,0,0,21,30,,IMPORTADO
122,AL-122,code128,24,11,unidad,1,1,1.915,2048,36,1,No Tax,exclusive,15072016_1303481.jpeg,,R12,1.3 8v (R12)-1.4 8v (R12),32,0,0,21,30,,BH
370,AL-370,code128,24,11,unidad,1,1,2.122,2269,67,2,No Tax,exclusive,12072016_1531571.jpeg,,R19| Clio - Hasta 8/96 - (42-42),1.9 D (F8Q),32,0,0,21,30,,AMOROSO
380,AL-380,code128,24,11,unidad,1,1,2.122,2269,67,2,No Tax,exclusive,12072016_1539031.jpeg,,Express| Clio - Hasta 8/96 - (46-44) - Chav Media Luna,1.9 D (F8Q),32,0,0,21,30,,AMOROSO
375,AL-375,code128,24,11,unidad,1,1,2.122,2269,67,2,No Tax,exclusive,13072016_1510491.jpeg,,Desde 8/96 - Exprerss| Clio - (46-44) - Chav. Espiga,1.9 D (F8Q),32,0,0,21,30,,AMOROSO
373,AL-373,code128,24,11,unidad,1,1,2.122,2269,67,2,No Tax,exclusive,13072016_1515391.jpeg,,Desde 8/96 - (45-45),1.9 D (F8Q),32,0,0,21,30,,AMOROSO
385,AL-385,code128,24,11,unidad,1,1,2.122,2269,67,2,No Tax,exclusive,13072016_1518491.jpeg,,Kangoo| Clio 2 - (46 - 44) - Chav. Espiga s/ Teton,1.9 D (F8Q),32,0,0,21,30,,AMOROSO
140,AL- 140,code128,24,11,unidad,1,1,2.125,2272,99,1,No Tax,exclusive,15072016_1308271.jpeg,,Trafic| R18| R21,2.1 D (J8S),32,0,0,21,30,,BH
330,AL-330,code128,24,11,unidad,1,1,2.134,2282,61,2,No Tax,exclusive,13072016_1525231.jpeg,,Trafic| R18| R21,2.1 D (J8S),32,0,0,21,30,,AMOROSO
126,AL-126,code128,24,11,unidad,1,1,2.138,2286,89,1,No Tax,exclusive,15072016_1300591.jpeg,,R6,1.4 8v (R6),32,0,0,21,30,,BH
127,AL-127,code128,24,11,unidad,1,1,2.138,2286,89,1,No Tax,exclusive,15072016_1305191.jpeg,,1.020cc Nafta - 4 S,1.0 8v (R4S),32,0,0,21,30,,BH
350,AL-350,code128,24,11,unidad,1,1,2.188,2340,27,1,No Tax,exclusive,15072016_1355231.jpeg,,Clio 2| Kangoo| Logan| Megane,1.5 TDCI (K9K),32,0,0,21,30,,AMOROSO
